Phone,Web_Link,Display,Battery,Processor,Storage,Camera,Weight,Dimensions,Data Technology
Cricket Icon,https://www.phonescoop.com/phones/phone.php?p=6130,"5.5 in diagonal, 2:1480 x 960 pixels195 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonRemovableTalk: 10.4 hours max.Standby: 504 hours max.,1.5 GHz MediaTek MT6739quad-core1 GB RAM,16 GB raw hardware12.1 GB available to userExpandable via memory card,"5+ megapixel LED flash, fixed focusbeauty mode, filters, timerVideo: 1080p HD",6.07 oz 172 g,5.91 x 2.87 x 0.39 in 150 x 73 x 9.9 mm,LTE (Cat 4)
Palm,https://www.phonescoop.com/phones/phone.php?p=5840,"3.3 in diagonal, 16:9HD 720 x 1280 pixels445 ppi approx.Type: LCD (TFT/TFD)",800 mAh LiIonNon-removableTalk: 3.3 hours max.Standby: 72 hours max.,Qualcomm Snapdragon 435 MSM8940 MSM8940octa-core3 GB RAM,32 GB raw hardware18 GB available to userNot expandable,"12+ megapixel LED flashHDR, panorama, manual mode, long exposureVideo: 1080p HD",2.2 oz 62 g,1.99 x 3.8 x 0.29 in 51 x 97 x 7.4 mm,LTE (Cat 4)
Liquid Jade Primo,https://www.phonescoop.com/phones/phone.php?p=5116,"5.5 in diagonal, 16:9Full HD 1080 x 1920 pixels401 ppi approx.Type: AMOLED",2870 mAh LiPolymerNon-removableTalk: 20 hours max.Standby: 330 hours max.,2 GHz Qualcomm Snapdragon 808 MSM89923 GB RAM,32 GB raw hardwareExpandable via memory card,"20+ megapixel dual LED flashHDR, Lenses, bracketingVideo: 4K UHD",5.29 oz 150 g,6.17 x 3.02 x 0.33 in 157 x 77 x 8.5 mm,LTE (Cat 6)
1x (2018) / Ideal Xtra,https://www.phonescoop.com/phones/phone.php?p=5761,"5.3 in diagonal, 2:1480 x 960 pixels203 ppi approx.Type: LCD (TFT/TFD)",2460 mAh LiIonNon-removableTalk: 26 hours max.Standby: 547 hours max.,1.3 GHz MediaTek MT6739quad-core1 GB RAMAndroid Go version / standard Android version has 2 GB,16 GB raw hardware11.8 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focus, f/2.0HDRVideo: 1080p HD",5.33 oz 151 g,5.81 x 2.78 x 0.36 in 147 x 71 x 9.1 mm,LTE (Cat 4)
1x (2019) / Onyx,https://www.phonescoop.com/phones/phone.php?p=5934,"5.5 in diagonal, 2:1720 x 1440 pixels293 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 12 hours max.Standby: 420 hours max.,1.5 GHz MediaTek 6739WWquad-core2 GB RAM,32 GB raw hardwareExpandable via memory cardsome versions (1x) have 16 GB,"13+ megapixel LED flashportrait mode with post-shot refocusing, panorama, HDR, long exposure mode, timeroptional scaling to 16 megapixelExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD",4.52 oz 128 g,5.74 x 2.7 x 0.29 in 146 x 69 x 7.4 mm,LTE (Cat 4)
1x Evolve / idealXTRA,https://www.phonescoop.com/phones/phone.php?p=5915,"5.3 in diagonal, 2:1480 x 960 pixels203 ppi approx.Type: LCD (TFT/TFD)",2460 mAh LiIonNon-removableTalk: 21 hours max.Standby: 337 hours max.,1.1 GHz MediaTek MT6739quad-core2 GB RAM,16 GB raw hardware9 GB available to userExpandable via memory card,8+ megapixel LED flashVideo: 1080p HD,5.33 oz 151 g,5.8 x 2.78 x 0.37 in 147 x 70 x 9.4 mm,LTE (Cat 4)
3v,https://www.phonescoop.com/phones/phone.php?p=5662,"6 in diagonal, 2:11080 x 2160 pixels402 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 6 hours max.Standby: 212 hours max.,1.5 GHz MediaTek MT8735Aquad-core2 GB RAM,16 GB raw hardware10.6 GB available to userExpandable via memory card,"12+ megapixel f/2.2, LED flashHDR, bokeh, panorama, light trace (long exposure), night modeExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD time-lapse",5.47 oz 155 g,6.38 x 2.99 x 0.32 in 162 x 76 x 8 mm,LTE (Cat 4)
3V (2019),https://www.phonescoop.com/phones/phone.php?p=6154,"6.7 in diagonal, 2:1720 x 1440 pixels240 ppi approx.Type: LCD (TFT/TFD)",4000 mAh LiIonNon-removableTalk: 24 hours max.Standby: 400 hours max.,2 GHz MediaTek Helio P22 MT6762octa-core3 GB RAM,32 GB raw hardware23 GB available to userExpandable via memory card,"16+ megapixel LED flashauto scene detection, Google LensExtra Camera(s): depth (for portrait/bokeh) 5 megapixelVideo: 1080p HD",6.98 oz 198 g,6.87 x 3.28 x 0.33 in 174 x 83 x 8.4 mm,LTE (Cat 4)
7 / REVVL 2 Plus,https://www.phonescoop.com/phones/phone.php?p=5844,"6 in diagonal, 2:11080 x 2160 pixels402 ppi approx.Type: LCD (TFT/TFD)",4000 mAh LiIonNon-removableTalk: 14 hours max.Standby: 614 hours max.,2.5 GHz MediaTek Helio P23 MT6763Tocta-core3 GB RAMAlcatel 7 has 2 GB,32 GB raw hardware26 GB available to userExpandable via memory card,12+ megapixel LED flashExtra Camera(s): depth (for portrait/bokeh) 2 megapixelVideo: 1080p HD,6.17 oz 175 g,6.38 x 2.95 x 0.34 in 162 x 75 x 8.6 mm,LTE (Cat 6)
768,https://www.phonescoop.com/phones/phone.php?p=3956,"2.4 in diagonal, 4:3QVGA 240 x 320 pixels167 ppi approx.Type: LCD (TFT/TFD)",850 mAhRemovableTalk: 5.5 hours max.Standby: 420 hours max.,611 MHz MTK 6276ARM1164 MB RAM,128 MB raw hardwareExpandable via memory card,"2+ megapixel night mode, timerVideo: QCIF (176 x 144)",3.5 oz 99 g,4.09 x 2.07 x 0.68 in 104 x 52 x 17.3 mm,HSPA 7.2
871a,https://www.phonescoop.com/phones/phone.php?p=3766,"2 in diagonal, 4:5220 x 176 pixels141 ppi approx.Type: LCD (TFT/TFD)",850 mAh LiIonRemovableTalk: 4.5 hours max.Standby: 300 hours max.,?,512 MB raw hardware50 MB available to userExpandable via memory card,"2+ megapixel LED flash, red-eye reduction, timerVideo: Yes",3.14 oz 89 g,4.19 x 2.28 x 0.5 in 106 x 58 x 12.7 mm,WCDMA (UMTS)
A30 Plus,https://www.phonescoop.com/phones/phone.php?p=5494,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 12 hours max.Standby: 400 hours max.,1.5 GHz MediaTek MT67382 GB RAM,16 GB raw hardwareExpandable via memory card,13+ megapixel LED flashVideo: 1080p HD,5.57 oz 158 g,5.98 x 3.03 x 0.33 in 152 x 77 x 8.4 mm,LTE (Cat 4)
Authority / Ultra,https://www.phonescoop.com/phones/phone.php?p=3811,"4.3 in diagonal, 5:3WVGA 480 x 800 pixels217 ppi approx.Type: LCD (TFT/TFD)",1500 mAh LiIonRemovableTalk: 6.2 hours max.Standby: 450 hours max.,1.4 GHz Qualcomm Snapdragon S2 MSM8655512 MB RAM,2 GB raw hardware300 MB available to userExpandable via memory card,"5+ megapixel auto-focus, flashtouch focus, scene modes, timerVideo: 720p HD",4.47 oz 127 g,5 x 2.67 x 0.4 in 127 x 68 x 10.2 mm,EVDO rA
Avalon V,https://www.phonescoop.com/phones/phone.php?p=6019,"5.3 in diagonal, 2:1480 x 960 pixels201 ppi approx.Type: LCD (TFT/TFD)",2460 mAh LiIonNon-removableTalk: 18 hours max.Standby: 336 hours max.,1.4 GHz Qualcomm Snapdragon 425 MSM8917 MSM8917quad-core2 GB RAM,16 GB raw hardwareExpandable via memory card,5+ megapixel LED flashVideo: 720p HD,5.5 oz 156 g,5.83 x 2.73 x 0.37 in 148 x 69 x 9.4 mm,LTE (Cat 4)
C1,https://www.phonescoop.com/phones/phone.php?p=4596,"3.5 in diagonal, 3:2320 x 480 pixels165 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 3 hours max.Standby: 250 hours max.,1 GHz MediaTek 6572Mdual-core512 MB RAM,4 GB raw hardware1.7 GB available to userExpandable via memory card,2+ megapixelVideo: WVGA / 480p,3.53 oz 100 g,4.43 x 2.44 x 0.47 in 113 x 62 x 11.9 mm,HSPA 14.4
Cingular Flip 2 / QuickFlip,https://www.phonescoop.com/phones/phone.php?p=5508,"2.8 in diagonal, 4:3QVGA 240 x 320 pixels143 ppi approx.Type: LCD (TFT/TFD)",1350 mAh LiIonRemovableTalk: 8 hours max.Standby: 384 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909512 MB RAM,4 GB raw hardware1 GB available to userExpandable via memory card,2+ megapixel has self-timerVideo: 720p HD,4.16 oz 118 g,4.13 x 2.08 x 0.74 in 105 x 53 x 18.8 mm,LTE (Cat 4)
Conquest,https://www.phonescoop.com/phones/phone.php?p=4832,"5 in diagonal, 16:9HD 720 x 1280 pixels294 ppi approx.Type: LCD (TFT/TFD)IPS",2500 mAh LiIonTalk: 16 hours max.,1.2 GHz Qualcomm Snapdragon 410 MSM8916quad-core1 GB RAM,8 GB raw hardware4 GB available to userExpandable via memory card,"5+ megapixel auto-focus, LED flashHDR, panorama, QR code scannerVideo: 720p HD",4.94 oz 140 g,5.64 x 2.89 x 0.36 in 143 x 73 x 9.1 mm,LTE (Cat 4)
Dawn,https://www.phonescoop.com/phones/phone.php?p=5155,"4.5 in diagonal, 16:9FWVGA 480 x 854 pixels218 ppi approx.Type: LCD (TFT/TFD)",1780 mAh LiIonRemovableTalk: 13 hours max.Standby: 300 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM89091 GB RAM,8 GB raw hardware4.6 GB available to userExpandable via memory card,5+ megapixel fixed-focusHDRVideo: 720p HD,5.08 oz 144 g,5.2 x 2.56 x 0.4 in 132 x 65 x 10.1 mm,LTE (Cat 4)
Elevate,https://www.phonescoop.com/phones/phone.php?p=4816,"4.5 in diagonal, 16:9FWVGA 480 x 854 pixels218 ppi approx.Type: LCD (TFT/TFD)",2000 mAh LiIonRemovableTalk: 16 hours max.Standby: 190 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909quad-core1 GB RAM,8 GB raw hardware5 GB available to userExpandable via memory card,"5+ megapixel auto-focus, LED flashpanorama, night mode, QR code scannerVideo: 720p HD",4.8 oz 136 g,5.26 x 2.6 x 0.39 in 133 x 66 x 9.9 mm,LTE (Cat 4)
Evolve,https://www.phonescoop.com/phones/phone.php?p=4276,"4 in diagonal, 5:3WVGA 480 x 800 pixels233 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 13 hours max.Standby: 410 hours max.,1 GHz Mediatek MT6575512 MB RAM,4 GB raw hardware1.4 GB available to userExpandable via memory card,5+ megapixel fixed focusVideo: 720p HD,4.81 oz 136 g,4.76 x 2.52 x 0.46 in 121 x 64 x 11.8 mm,HSPA 7.2
Evolve 2,https://www.phonescoop.com/phones/phone.php?p=4493,"4 in diagonal, 5:3WVGA 480 x 800 pixels233 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 6 hours max.Standby: 336 hours max.,1.3 GHz MediaTek MT658xdual-core512 MB RAM,4 GB raw hardware2 GB available to userExpandable via memory card,5+ megapixel scene modesVideo: 720p HD time lapse mode,3.88 oz 110 g,4.79 x 2.54 x 0.46 in 122 x 65 x 11.7 mm,HSPA 7.2
Fierce,https://www.phonescoop.com/phones/phone.php?p=4277,"4.5 in diagonal, 16:9qHD 540 x 960 pixels245 ppi approx.Type: LCD (TFT/TFD)",1800 mAhNon-removableTalk: 8 hours max.Standby: 450 hours max.,1.2 GHz MediaTek MT6589Mquad-core1 GB RAM,4 GB raw hardware2.4 GB available to userExpandable via memory card,"5+ megapixel fixed focus, LED flashVideo: 720p HD",4.59 oz 130 g,5.13 x 2.64 x 0.35 in 130 x 67 x 9 mm,HSPA+ 21
Fierce 2,https://www.phonescoop.com/phones/phone.php?p=4501,"5 in diagonal, 16:9qHD 540 x 960 pixels220 ppi approx.Type: LCD (TFT/TFD)",2000 mAh LiIonRemovableTalk: 6 hours max.Standby: 336 hours max.,1.2 GHz Qualcomm Snapdragon 200 MSM8212quad-core1 GB RAM,4 GB raw hardware2 GB available to userExpandable via memory card,"5+ megapixel LED flash, auto-focusVideo: 720p HD",5.26 oz 149 g,5.55 x 2.83 x 0.39 in 141 x 72 x 9.9 mm,HSPA+ 21
Fierce 4 / Allura / Pop 4+,https://www.phonescoop.com/phones/phone.php?p=5075,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)IPS",2500 mAh LiIonNon-removableTalk: 12.2 hours max.Standby: 526 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909quad-core2 GB RAM,16 GB raw hardware10.8 GB available to userExpandable via memory card,"8+ megapixel LED flashHDR, panorama, code scannerVideo: 720p HD",5.78 oz 164 g,5.94 x 3.03 x 0.32 in 151 x 77 x 8.1 mm,LTE (Cat 4)
Fierce XL,https://www.phonescoop.com/phones/phone.php?p=4923,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonNon-removableTalk: 12 hours max.Standby: 360 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909quad-core2 GB RAM,16 GB raw hardware12 GB available to userExpandable via memory card,"8+ megapixel auto-focus, LED flashHDR, face detection, QR code scannerVideo: 720p HD",6.1 oz 173 g,5.98 x 3.06 x 0.37 in 152 x 78 x 9.4 mm,LTE (Cat 4)
Fierce XL with Windows 10,https://www.phonescoop.com/phones/phone.php?p=5018,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)IPS",2500 mAh LiIonNon-removableTalk: 14 hours max.Standby: 820 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM89092 GB RAM,16 GB raw hardware11 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focusVideo: 720p HD",6.14 oz 174 g,5.98 x 3.06 x 0.37 in 152 x 78 x 9.4 mm,LTE (Cat 4)
Flint / Pop 3 (5.5) / Pixi Glory,https://www.phonescoop.com/phones/phone.php?p=4990,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonNon-removableTalk: 19 hours max.Standby: 720 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909quad-core1.5 GB RAM,16 GB raw hardware11.5 GB available to userExpandable via memory card,"8+ megapixel Pixi Glory is 5 megapixelLED flashHDR, code scanner, Polaroid filters, timerVideo: 720p HD",6.14 oz 174 g,5.98 x 3.1 x 0.37 in 152 x 79 x 9.4 mm,LTE (Cat 4)
Go Flip / MyFlip,https://www.phonescoop.com/phones/phone.php?p=5357,"2.8 in diagonal, 4:3QVGA 240 x 320 pixels143 ppi approx.Type: LCD (TFT/TFD)",1350 mAh LiIonRemovableTalk: 8 hours max.Standby: 280 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909512 MB RAM,4 GB raw hardware1 GB available to userExpandable via memory card,2+ megapixel timerVideo: 720p HD,4.1 oz 116 g,4.13 x 2.08 x 0.74 in 105 x 53 x 18.7 mm,LTE (Cat 4)
Go Flip 3 / SmartFlip,https://www.phonescoop.com/phones/phone.php?p=6125,"2.8 in diagonal, 4:3QVGA 240 x 320 pixels143 ppi approx.Type: LCD (TFT/TFD)",1350 mAh LiIonRemovableTalk: 7.9 hours max.Standby: 427 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM8909quad-core512 MB RAM,4 GB raw hardware2 GB available to userExpandable via memory card,2+ megapixel self-timerVideo: 720p HD,4.16 oz 118 g,4.13 x 2.09 x 0.75 in 105 x 53 x 19.1 mm,LTE (Cat 4)
Go Flip V,https://www.phonescoop.com/phones/phone.php?p=6073,"2.8 in diagonal, 4:3QVGA 240 x 320 pixels143 ppi approx.Type: LCD (TFT/TFD)",1350 mAh LiIonRemovableTalk: 6.5 hours max.Standby: 300 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM89091 GB RAM,8 GB raw hardwareExpandable via memory card,2+ megapixel dedicated buttonVideo: 720p HD,4.16 oz 118 g,4.13 x 2.08 x 0.74 in 105 x 53 x 18.7 mm,LTE (Cat 4)
Go Play,https://www.phonescoop.com/phones/phone.php?p=4940,"5 in diagonal, 16:9HD 720 x 1280 pixels294 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonNon-removableTalk: 8.3 hours max.Standby: 500 hours max.,1.2 GHz Qualcomm Snapdragon 410 MSM8916quad-core2 GB RAM,16 GB raw hardware12 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focusHDR, panorama, manual mode, barcode scannerVideo: 1080p HD time-lapse mode",5.33 oz 151 g,5.64 x 2.89 x 0.36 in 143 x 73 x 9.2 mm,LTE (Cat 4)
Ideal / Streak,https://www.phonescoop.com/phones/phone.php?p=5097,"4.5 in diagonal, 16:9FWVGA 480 x 854 pixels218 ppi approx.Type: LCD (TFT/TFD)",1780 mAh LiIonRemovableTalk: 6 hours max.Standby: 180 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM89091 GB RAM,8 GB raw hardware4 GB available to userExpandable via memory card,5+ megapixelVideo: 720p HD,4.83 oz 137 g,5.2 x 2.56 x 0.4 in 132 x 65 x 10.2 mm,LTE (Cat 4)
Idol,https://www.phonescoop.com/phones/phone.php?p=4064,"4.7 in diagonal, 16:9qHD 540 x 960 pixels234 ppi approx.Type: LCD (TFT/TFD)IPS",1800 mAh LiIonNon-removableTalk: 7.2 hours max.Standby: 415 hours max.,1 GHz MediaTek 6577dual-core512 MB RAM,4 GB raw hardware2.4 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focusHDR, face detection, smile detection, panoramaVideo: 720p HD",3.88 oz 110 g,5.24 x 2.66 x 0.31 in 133 x 67 x 7.9 mm,HSPA 7.2
Idol 3,https://www.phonescoop.com/phones/phone.php?p=4745,"5.5 in diagonal, 16:9Full HD 1080 x 1920 pixels401 ppi approx.Type: LCD (TFT/TFD)IPS",2910 mAh LiIonNon-removableTalk: 13 hours max.Standby: 600 hours max.,1.5 GHz Qualcomm Snapdragon 615 MSM8939octa-core (4x 1.5 GHz + 4x 1 GHz)2 GB RAM,16 GB raw hardware10.9 GB available to userExpandable via memory card,"13+ megapixel auto-focus, LED flash, f/2.0 lensHDR, panorama, time-lapse, bar code scanner, face detection, smile detectionVideo: 1080p HD",5.09 oz 144 g,6 x 2.96 x 0.29 in 152 x 75 x 7.4 mm,LTE (Cat 4)
Idol 4,https://www.phonescoop.com/phones/phone.php?p=5077,"5.2 in diagonal, 16:9Full HD 1080 x 1920 pixels424 ppi approx.Type: LCD (TFT/TFD)IPS",2160 mAh LiIonNon-removableTalk: 17 hours max.Standby: 450 hours max.,1.7 GHz Qualcomm Snapdragon 617 MSM8952octa-core2 GB RAMsome versions have 3 GB,16 GB raw hardware10 GB available to userExpandable via memory card,"13+ megapixel dual-tone LED flashauto-HDR, panoramaVideo: 1080p HD",4.76 oz 135 g,5.79 x 2.85 x 0.28 in 147 x 72 x 7.1 mm,LTE (Cat 4) some versions support LTE Cat. 6
Idol 4S,https://www.phonescoop.com/phones/phone.php?p=5078,"5.5 in diagonal, 16:9Quad HD 1440 x 2560 pixels534 ppi approx.Type: AMOLED",3000 mAh LiIonTalk: 13 hours max.Standby: 420 hours max.,1.8 GHz Qualcomm Snapdragon 652 MSM8976octa-core3 GB RAM,32 GB raw hardware23 GB available to userExpandable via memory card,"16+ megapixel dual-tone LED flash, Sony sensor, f/2.0 apertureHDR, panorama, night mode, manual modeVideo: 4K UHD slow-motion mode",5.26 oz 149 g,6.06 x 2.97 x 0.28 in 154 x 75 x 7 mm,LTE (Cat 4)
Idol 4S with Windows 10,https://www.phonescoop.com/phones/phone.php?p=5182,"5.5 in diagonal, 16:9Full HD 1080 x 1920 pixels401 ppi approx.Type: AMOLED",3000 mAh LiIonNon-removableTalk: 20 hours max.Standby: 420 hours max.,2.2 GHz Qualcomm Snapdragon 820 MSM89964 GB RAM,64 GB raw hardwareExpandable via memory card,"20+ megapixel LED flashHDR, panorama, manual modeVideo: 4K UHD",5.36 oz 152 g,6.06 x 2.97 x 0.28 in 154 x 75 x 7 mm,LTE (Cat 6)
Idol 5,https://www.phonescoop.com/phones/phone.php?p=5597,"5.2 in diagonal, 16:9Full HD 1080 x 1920 pixels424 ppi approx.Type: LCD (TFT/TFD)",2850 mAh LiIonNon-removableTalk: 18 hours max.Standby: 504 hours max.,2.4 GHz MediaTek Helio P20 MT6757octa-core2 GB RAM,32 GB raw hardware23 GB available to userExpandable via memory card,"12+ megapixel dual-tone LED flashHDR, panorama, cinemagraph, manual modesVideo: 1080p HD",5.19 oz 147 g,5.83 x 2.83 x 0.3 in 148 x 72 x 7.6 mm,LTE (Cat 4)
Idol 5S,https://www.phonescoop.com/phones/phone.php?p=5479,"5.2 in diagonal, 16:9Full HD 1080 x 1920 pixels424 ppi approx.Type: LCD (TFT/TFD)IPS",2620 mAh LiIonNon-removableTalk: 20 hours max.Standby: 753 hours max.,2 GHz Qualcomm Snapdragon 625 MSM89533 GB RAM,32 GB raw hardwareExpandable via memory card,"12+ megapixel f/2.0, PDAF, dual-tone LED flashpanorama, cinemagraphVideo: 1080p HD",5.14 oz 146 g,5.85 x 2.79 x 0.29 in 149 x 71 x 7.4 mm,LTE (Cat 6)
Insight,https://www.phonescoop.com/phones/phone.php?p=6056,"5 in diagonal, 2:1480 x 960 pixels215 ppi approx.Type: LCD (TFT/TFD)",2200 mAh LiIonRemovableTalk: 8 hours max.Standby: 330 hours max.,1.5 GHz MediaTek MT6739WWquad-core1.5 GB RAM,16 GB raw hardware11 GB available to userExpandable via memory card,"5+ megapixel LED flash, fixed-focuspanoramaVideo: 1080p HD time-lapse mode",5.11 oz 145 g,5.37 x 2.56 x 0.39 in 136 x 65 x 9.9 mm,LTE (Cat 4)
Jitterbug Smart,https://www.phonescoop.com/phones/phone.php?p=5026,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",2500 mAh LiIonRemovableTalk: 6.5 hours max.Standby: 250 hours max.,1.1 GHz Qualcomm Snapdragon 210 MSM89091 GB RAM,8 GB raw hardware4 GB available to userExpandable via memory card,"5+ megapixel LED flashHDR, panorama, code scanner modesVideo: 720p HD",6.1 oz 173 g,6 x 3.1 x 0.4 in 152 x 79 x 10.2 mm,LTE (Cat 4)
Jitterbug Smart2,https://www.phonescoop.com/phones/phone.php?p=5855,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removable,Mediatek MT67382 GB RAM,16 GB raw hardware7.7 GB available to userExpandable via memory card,13+ megapixel LED flashVideo: 1080p HD,5.57 oz 158 g,5.98 x 3.03 x 0.33 in 152 x 77 x 8.4 mm,LTE (Cat 4)
Pop Astro,https://www.phonescoop.com/phones/phone.php?p=4564,"4.5 in diagonal, 16:9qHD 540 x 960 pixels245 ppi approx.Type: LCD (TFT/TFD)",2000 mAh LiIonRemovableTalk: 8 hours max.Standby: 250 hours max.,1.5 GHz MediaTek MTK6732quad-core1 GB RAM,4 GB raw hardware1.5 GB available to userExpandable via memory card,"5+ megapixel fixed-focuspanorama, night modeVideo: 1080p HD",5.11 oz 145 g,5.23 x 2.57 x 0.39 in 133 x 65 x 9.9 mm,LTE (Cat 4)
Pop Mega,https://www.phonescoop.com/phones/phone.php?p=4443,"6 in diagonal, 16:9qHD 540 x 960 pixels184 ppi approx.Type: LCD (TFT/TFD)",3400 mAh LiIonNon-removableTalk: 14 hours max.Standby: 528 hours max.,1.2 GHz Qualcomm Snapdragon 400 MSM8926quad-core1 GB RAM,4 GB raw hardware1.5 GB available to userExpandable via memory card,"8+ megapixel LED flash, auto-focusHDR, panorama, smile detection, night mode, timerVideo: 1080p HD",6.42 oz 182 g,6.39 x 3.32 x 0.34 in 162 x 84 x 8.6 mm,LTE (Cat 4)
Pop Star,https://www.phonescoop.com/phones/phone.php?p=4461,"4 in diagonal, 5:3WVGA 480 x 800 pixels233 ppi approx.Type: LCD (TFT/TFD)",2000 mAh LiIonRemovableTalk: 12 hours max.Standby: 312 hours max.,1.2 GHz Qualcomm Snapdragon 400 MSM8926quad-core1 GB RAM,4 GB raw hardware1.5 GB available to userExpandable via memory card,"5+ megapixel LED flashHDR, panorama, night mode, smile detection, timerVideo: 1080p HD",4.6 oz 130 g,4.84 x 2.5 x 0.38 in 123 x 64 x 9.7 mm,LTE (Cat 3)
PulseMix / A50 / A5,https://www.phonescoop.com/phones/phone.php?p=5403,"5.2 in diagonal, 16:9HD 720 x 1280 pixels282 ppi approx.Type: LCD (TFT/TFD)IPS",2800 mAh LiIonNon-removableTalk: 13 hours max.Standby: 450 hours max.,1.5 GHz MT6738MT6753 in A52 GB RAM,16 GB raw hardware11.8 GB available to userExpandable via memory card,"8+ megapixel 13 megapixel in A50dual-tone LED flashHDR, panoramaVideo: 1080p HD",5.14 oz 146 g,5.75 x 2.84 x 0.31 in 146 x 72 x 7.9 mm,LTE (Cat 4)
Retro / Speakeasy / Fling / A394c,https://www.phonescoop.com/phones/phone.php?p=4622,"2.4 in diagonal, 4:3QVGA 240 x 320 pixels167 ppi approx.Type: LCD (TFT/TFD)",850 mAh LiIonRemovableTalk: 4 hours max.Standby: 210 hours max.,480 MHz Qualcomm QSC6155128 MB RAM,256 MB raw hardwareExpandable via memory card,2+ megapixelVideo: QVGA (320 x 240) 15 fps,3.88 oz 110 g,4.13 x 2.09 x 0.71 in 105 x 53 x 18 mm,1xRTT
REVVL / A30 Fierce,https://www.phonescoop.com/phones/phone.php?p=5558,"5.5 in diagonal, 16:9HD 720 x 1280 pixels267 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 12 hours max.Standby: 384 hours max.,1.5 GHz Mediatek MT6738quad-core2 GB RAM,32 GB raw hardware24 GB available to userExpandable via memory card,"13+ megapixel LED flash, auto-focusHDR, panoramaVideo: 1080p HD time-lapse mode",5.57 oz 158 g,5.98 x 3.03 x 0.33 in 152 x 77 x 8.4 mm,LTE (Cat 4)
REVVL 2,https://www.phonescoop.com/phones/phone.php?p=5685,"5.5 in diagonal, 2:1720 x 1440 pixels293 ppi approx.Type: LCD (TFT/TFD)",3000 mAh LiIonNon-removableTalk: 13 hours max.Standby: 320 hours max.,1.5 GHz MediaTek MT67392 GB RAM,32 GB raw hardwareExpandable via memory card,"13+ megapixel PDAF, f/2.0, LED flashHDR, panorama, light trace (long exposure), night mode, live filtersVideo: 720p HD",5.11 oz 145 g,5.79 x 2.71 x 0.33 in 147 x 69 x 8.5 mm,LTE (Cat 4)
Shockwave,https://www.phonescoop.com/phones/phone.php?p=3900,"3.5 in diagonal, 3:2320 x 480 pixels165 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 5 hours max.Standby: 400 hours max.,800 MHz Qualcomm MSM7627T512 MB RAM,1 GB raw hardware550 MB available to userExpandable via memory card2 GB card included,3+ megapixel LED flashVideo: WVGA / 480p,5.7 oz 162 g,4.72 x 2.6 x 0.54 in 120 x 66 x 13.7 mm,EVDO rA
Sparq,https://www.phonescoop.com/phones/phone.php?p=2857,"2.2 in diagonal, 4:3QVGA 240 x 320 pixels182 ppi approx.Type: LCD (TFT/TFD)",670 mAh LiIonRemovableTalk: 11 hours max.Standby: 500 hours max.,8 MB RAM,32 MB raw hardwareExpandable via memory card,"VGA (640 x 480) night modeexposure, white balance controlVideo: QVGA (320 x 240)",3.85 oz 109 g,4.29 x 2.01 x 0.65 in 109 x 51 x 16.5 mm,GPRS
