Phone,Web_Link,Display,Battery,Processor,Storage,Camera,Weight,Dimensions,Data Technology
Cliq,https://www.phonescoop.com/phones/phone.php?p=2285,"3.1 in diagonal, 3:2320 x 480 pixels187 ppi approx.Type: LCD (TFT/TFD)",1420 mAh LiPolymerRemovableTalk: 6 hours max.Standby: 325 hours max.,?,199 MB available to userExpandable via memory card2 GB card included,"5+ megapixel auto-focus, white balance, digital zoom, geo-taggingVideo: CIF (352 x 288)",5.84 oz 166 g,4.49 x 2.28 x 0.63 in 114 x 58 x 16 mm,HSPA 7.2
Cliq 2,https://www.phonescoop.com/phones/phone.php?p=3102,"3.7 in diagonal, 16:9FWVGA 480 x 854 pixels265 ppi approx.Type: LCD (TFT/TFD)",1420 mAh LiIonRemovableTalk: 7.9 hours max.Standby: 312 hours max.,1 GHz TI OMAP3620,307 MB available to userExpandable via memory card2 GB card included,"5+ megapixel dual-LED flash, auto-focusscene modes, night, macro, stabilizergeo-taggingface detectionexposure controldedicated two-stage buttonVideo: WVGA / 480p",6.25 oz 177 g,4.58 x 2.36 x 0.59 in 116 x 60 x 14.9 mm,HSPA 10.1
Cliq XT / Quench,https://www.phonescoop.com/phones/phone.php?p=2496,"3.1 in diagonal, 3:2320 x 480 pixels186 ppi approx.Type: LCD (TFT/TFD)",1420 mAh LiIonRemovableTalk: 6.7 hours max.Standby: 450 hours max.WCDMA mode,528 MHz Qualcomm MSM7200A,159 MB available to userExpandable via memory card,"5+ megapixel auto-focus, LED flash, geo-tagging, photo editorVideo: 24 fps",4.59 oz 130 g,4.6 x 2.36 x 0.49 in 117 x 60 x 12.4 mm,HSPA 7.2
Clutch i465,https://www.phonescoop.com/phones/phone.php?p=2039,"1.8 in diagonal, 5:4128 x 160 pixels114 ppi approx.Type: LCD (TFT/TFD)",1130 mAh LiIonRemovableTalk: 3.4 hours max.Standby: 100 hours max.,?,20 MB available to userNot expandable,VGA (640 x 480) self-timerVideo: 30 seconds max.,3.46 oz 98 g,4.44 x 2.13 x 0.61 in 113 x 54 x 15.5 mm,WiDEN
Crush,https://www.phonescoop.com/phones/phone.php?p=2298,"2.8 in diagonal, 5:3WQVGA 240 x 400 pixels167 ppi approx.Type: LCD (TFT/TFD)",950 mAh LiIonRemovableTalk: 4.3 hours max.Standby: 499 hours max.,?,189 MB available to userExpandable via memory card,2+ megapixelVideo: QVGA (320 x 240),3.6 oz 102 g,4.17 x 2 x 0.57 in 106 x 51 x 14.5 mm,EVDO r0
Debut i856,https://www.phonescoop.com/phones/phone.php?p=2267,"2.2 in diagonal, 5:4176 x 220 pixels128 ppi approx.Type: LCD (TFT/TFD)",1140 mAhRemovableTalk: 3.5 hours max.Standby: 95 hours max.,?,70 MB available to userExpandable via memory card,"1+ megapixel geo-tagging, self-timer, white balance, exposure controlsVideo: CIF (352 x 288)",2.99 oz 85 g,4.19 x 1.97 x 0.59 in 107 x 50 x 15 mm,WiDEN
Defy,https://www.phonescoop.com/phones/phone.php?p=2965,"3.6 in diagonal, 16:9FWVGA 480 x 854 pixels272 ppi approx.Type: LCD (TFT/TFD)",1540 mAh LiIonRemovableTalk: 6.7 hours max.Standby: 400 hours max.,800 MHz TI OMAP3610,"2 GB internal storageExpandable via memory card2 GB card included, supports up to 32 GB","5+ megapixel auto-focus, LED flash, geo-taggingVideo: Yes",4.16 oz 118 g,4.21 x 2.32 x 0.53 in 107 x 59 x 13.4 mm,HSPA 7.2
Defy XT,https://www.phonescoop.com/phones/phone.php?p=3764,"3.7 in diagonal, 16:9FWVGA 480 x 854 pixels265 ppi approx.Type: LCD (TFT/TFD)",1650 mAh LiIonRemovableTalk: 5.5 hours max.Standby: 300 hours max.,1 GHz 512 MB RAM,1 GB raw hardware380 MB available to userExpandable via memory card2 GB card included,"5+ megapixel auto-focus, LED flashVideo: WVGA / 480p 30 fps",4.06 oz 115 g,4.53 x 2.3 x 0.47 in 115 x 58 x 11.9 mm,EVDO rA
Devour,https://www.phonescoop.com/phones/phone.php?p=2601,"3.1 in diagonal, 3:2320 x 480 pixels186 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 6.5 hours max.Standby: 443 hours max.,600 MHz Qualcomm S1 MSM7627,250 MB available to userExpandable via memory card8 GB card included,"3+ megapixel fixed-focuscrop tool, geo-taggingVideo: VGA (640 x 480) 23-24 fps",6.35 oz 180 g,4.55 x 2.4 x 0.61 in 116 x 61 x 15.4 mm,EVDO rA
Droid,https://www.phonescoop.com/phones/phone.php?p=2320,"3.7 in diagonal, 16:9FWVGA 480 x 854 pixels268 ppi approx.Type: LCD (TFT/TFD)",1400 mAh LiIonRemovableTalk: 6.4 hours max.Standby: 270 hours max.,550 MHz TI OMAP 3430 ARM Cortex A8,256 MB internal storageExpandable via memory card,"5+ megapixel auto-focus, LED flash, geo-tagging, white balance control, digital zoomVideo: WVGA / 480p 24 fps / H.264 format / 30 minutes",5.99 oz 170 g,4.55 x 2.35 x 0.55 in 116 x 60 x 14 mm,EVDO rA
Droid 2,https://www.phonescoop.com/phones/phone.php?p=2921,"3.7 in diagonal, 16:9FWVGA 480 x 854 pixels265 ppi approx.Type: LCD (TFT/TFD)",1390 mAh LiIonRemovableTalk: 9.6 hours max.Standby: 315 hours max.,1 GHz TI OMAP3620,8 GB raw hardwareExpandable via memory card8 GB card included,"5+ megapixel auto-focus, dual-LED flash, scene modes, stabilization, geo-taggingediting, including crop and rotateVideo: WVGA / 480p 30 fps",5.96 oz 169 g,4.58 x 2.38 x 0.54 in 116 x 61 x 13.7 mm,EVDO rA
Droid 2 Global,https://www.phonescoop.com/phones/phone.php?p=3008,"3.7 in diagonal, 16:9FWVGA 480 x 854 pixels265 ppi approx.Type: LCD (TFT/TFD)",1420 mAh LiIonRemovableTalk: 8.3 hours max.Standby: 230 hours max.,1.2 GHz TI OMAP3630,8 GB raw hardwareExpandable via memory card8 GB card included,"5+ megapixel auto-focus, dual-LED flash, geo-taggingphoto editing (crop, rotate)Video: WVGA / 480p 24 fps",6.1 oz 173 g,4.58 x 2.38 x 0.54 in 116 x 60 x 13.7 mm,EVDO rA
Droid 3,https://www.phonescoop.com/phones/phone.php?p=3381,"4 in diagonal, 16:9qHD 540 x 960 pixels275 ppi approx.Type: LCD (TFT/TFD)",1540 mAh LiIonRemovableTalk: 9.2 hours max.Standby: 300 hours max.,1 GHz TI OMAP 4430 dual-core ARM Cortex-A9,16 GB raw hardwareExpandable via memory card,"8+ megapixel auto-focus, touch focus, LED flash, scene modes, face recognition, panorama modeVideo: 1080p HD",6.49 oz 184 g,4.85 x 2.52 x 0.51 in 123 x 64 x 12.9 mm,EVDO rA
Droid 4,https://www.phonescoop.com/phones/phone.php?p=3642,"4 in diagonal, 16:9qHD 540 x 960 pixels275 ppi approx.Type: LCD (TFT/TFD)",1785 mAh LiIonNon-removableTalk: 12.5 hours max.Standby: 204 hours max.,1.2 GHz dual-core1 GB RAM,16 GB raw hardware11 GB available to userExpandable via memory card,"8+ megapixel auto-focus, LED flashscene modes, night mode, macro mode, panorama, multi-shot, timer, exposure controlVideo: 1080p HD video stabilization",6.31 oz 179 g,5 x 2.65 x 0.5 in 127 x 67 x 12.7 mm,LTE (Cat 3)
Droid Bionic,https://www.phonescoop.com/phones/phone.php?p=3378,"4.3 in diagonal, 16:9qHD 540 x 960 pixels256 ppi approx.Type: LCD (TFT/TFD)",1735 mAhRemovableTalk: 10.8 hours max.Standby: 200 hours max.,1 GHz TI OMAP 4430 dual-core ARM Cortex-A91 GB RAM,12 GB raw hardware11.5 GB available to userExpandable via memory card16 GB card included~4 GB for apps + 8 GB for content (storage),"8+ megapixel auto-focus, LED flash, panorama modeVideo: 1080p HD",5.6 oz 159 g,5 x 2.63 x 0.43 in 127 x 67 x 10.9 mm,LTE (Cat 3)
Droid Bionic (old),https://www.phonescoop.com/phones/phone.php?p=3103,"4.3 in diagonal, 16:9qHD 540 x 960 pixels256 ppi approx.Type: LCD (TFT/TFD)",1930 mAh LiIonRemovable,1 GHz Nvidia Tegra dual-core,2.7 GB available to userExpandable via memory card,"8+ megapixel auto-focus, dual LED flash, night mode, macro, stabilizer, panorama, multi-shot, geo-tagging, exposure controlVideo: 720p HD",5.35 oz 152 g,4.96 x 2.63 x 0.54 in 126 x 67 x 13.7 mm,LTE (Cat 3)
